Tura,Symbol,Koszt,Oblozenie,Koszt w turze
10,s2,1.1*s2**1.07,71,105.254123320670
10,s3,1.1*s3**1.07,71,105.254123320670
10,s4,1.1*s4**1.07,71,105.254123320670
10,m1,1.2*m1**1.05,213,334.179519056127
10,m2,1.2*m2**1.05,71,105.439299557357
10,r1,1.78*r1**0.95,0,0
10,r2,0.195*r2**0.95,213,31.7683921204546
10,r3,1.83*r3**0.95,71,104.989657997283
10,r4,0.145*r4**0.95,0,0
10,r5,0.705*r5**0.95,71,40.4468354579698
10,r6,0.895*r6**0.95,0,0
10,r7,2.85*r7**0.95,0,0
10,r8,0.01*r8**0.95,71,0.573713978127232
10,r9,1.685*r9**0.95,71,96.6708053144386
10,r10,1.875*r10**0.95,0,0
10,r11,2.645*r11**0.95,71,151.747347214653
10,r12,2.835*r12**0.95,0,0
11,f1,1.3*f1**1.03,71,104.891296012750
11,f2,1.3*f2**1.03,213,325.217827131336
11,s1,1.1*s1**1.07,71,105.254123320670
11,s2,1.1*s2**1.07,71,105.254123320670
11,s3,1.1*s3**1.07,71,105.254123320670
11,s4,1.1*s4**1.07,71,105.254123320670
11,m1,1.2*m1**1.05,213,334.179519056127
11,m2,1.2*m2**1.05,71,105.439299557357
11,r1,1.78*r1**0.95,0,0
11,r2,0.195*r2**0.95,213,31.7683921204546
11,r3,1.83*r3**0.95,71,104.989657997283
11,r4,0.145*r4**0.95,0,0
11,r5,0.705*r5**0.95,71,40.4468354579698
11,r6,0.895*r6**0.95,0,0
11,r7,2.85*r7**0.95,0,0
11,r8,0.01*r8**0.95,71,0.573713978127232
11,r9,1.685*r9**0.95,71,96.6708053144386
11,r10,1.875*r10**0.95,0,0
11,r11,2.645*r11**0.95,71,151.747347214653
11,r12,2.835*r12**0.95,0,0
12,f1,1.3*f1**1.03,71,104.891296012750
12,f2,1.3*f2**1.03,213,325.217827131336
12,s1,1.1*s1**1.07,71,105.254123320670
12,s2,1.1*s2**1.07,71,105.254123320670
12,s3,1.1*s3**1.07,71,105.254123320670
12,s4,1.1*s4**1.07,71,105.254123320670
12,m1,1.2*m1**1.05,213,334.179519056127
12,m2,1.2*m2**1.05,71,105.439299557357
12,r1,1.78*r1**0.95,0,0
12,r2,0.195*r2**0.95,213,31.7683921204546
12,r3,1.83*r3**0.95,71,104.989657997283
12,r4,0.145*r4**0.95,0,0
12,r5,0.705*r5**0.95,71,40.4468354579698
12,r6,0.895*r6**0.95,0,0
12,r7,2.85*r7**0.95,0,0
12,r8,0.01*r8**0.95,71,0.573713978127232
12,r9,1.685*r9**0.95,71,96.6708053144386
12,r10,1.875*r10**0.95,0,0
12,r11,2.645*r11**0.95,71,151.747347214653
12,r12,2.835*r12**0.95,0,0
13,f1,1.3*f1**1.03,71,104.891296012750
13,f2,1.3*f2**1.03,213,325.217827131336
13,s1,1.1*s1**1.07,71,105.254123320670
13,s2,1.1*s2**1.07,71,105.254123320670
13,s3,1.1*s3**1.07,71,105.254123320670
13,s4,1.1*s4**1.07,71,105.254123320670
13,m1,1.2*m1**1.05,213,334.179519056127
13,m2,1.2*m2**1.05,71,105.439299557357
13,r1,1.78*r1**0.95,0,0
13,r2,0.195*r2**0.95,213,31.7683921204546
13,r3,1.83*r3**0.95,71,104.989657997283
13,r4,0.145*r4**0.95,0,0
13,r5,0.705*r5**0.95,71,40.4468354579698
13,r6,0.895*r6**0.95,0,0
13,r7,2.85*r7**0.95,0,0
13,r8,0.01*r8**0.95,71,0.573713978127232
13,r9,1.685*r9**0.95,71,96.6708053144386
13,r10,1.875*r10**0.95,0,0
13,r11,2.645*r11**0.95,71,151.747347214653
13,r12,2.835*r12**0.95,0,0
14,f1,1.3*f1**1.03,71,104.891296012750
14,f2,1.3*f2**1.03,213,325.217827131336
14,s1,1.1*s1**1.07,71,105.254123320670
14,s2,1.1*s2**1.07,71,105.254123320670
14,s3,1.1*s3**1.07,71,105.254123320670
14,s4,1.1*s4**1.07,71,105.254123320670
14,m1,1.2*m1**1.05,213,334.179519056127
14,m2,1.2*m2**1.05,71,105.439299557357
14,r1,1.78*r1**0.95,0,0
14,r2,0.195*r2**0.95,213,31.7683921204546
14,r3,1.83*r3**0.95,71,104.989657997283
14,r4,0.145*r4**0.95,0,0
14,r5,0.705*r5**0.95,71,40.4468354579698
14,r6,0.895*r6**0.95,0,0
14,r7,2.85*r7**0.95,0,0
14,r8,0.01*r8**0.95,71,0.573713978127232
14,r9,1.685*r9**0.95,71,96.6708053144386
14,r10,1.875*r10**0.95,0,0
14,r11,2.645*r11**0.95,71,151.747347214653
14,r12,2.835*r12**0.95,0,0
15,f1,1.3*f1**1.03,71,104.891296012750
15,f2,1.3*f2**1.03,213,325.217827131336
15,s1,1.1*s1**1.07,71,105.254123320670
15,s2,1.1*s2**1.07,71,105.254123320670
15,s3,1.1*s3**1.07,71,105.254123320670
15,s4,1.1*s4**1.07,71,105.254123320670
15,m1,1.2*m1**1.05,213,334.179519056127
15,m2,1.2*m2**1.05,71,105.439299557357
15,r1,1.78*r1**0.95,0,0
15,r2,0.195*r2**0.95,213,31.7683921204546
